# dcmpfile x y sim_mag mag_gal mag_gal_GLADE GLADE_gal_id detmag detmagerr snr
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2107.31 2030.78 18.374 -99.000 -99.000 -99 18.372 0.014 75.006
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 304.53 1336.55 18.423 -99.000 -99.000 -99 18.424 0.016 68.249
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2359.86 2196.21 24.811 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2428.38 2057.58 24.407 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2126.58 4175.29 20.156 -99.000 -99.000 -99 20.165 0.070 15.582
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3860.31 3245.44 24.063 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2705.31 1709.78 18.904 -99.000 -99.000 -99 18.930 0.025 44.280
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3464.38 1587.87 20.399 -99.000 -99.000 -99 20.330 0.088 12.352
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2825.45 2694.59 20.442 -99.000 -99.000 -99 20.613 0.112 9.674
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3243.12 1828.67 20.882 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2570.19 2853.16 21.632 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1014.29 3385.41 18.081 -99.000 -99.000 -99 18.097 0.010 104.253
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2866.64 1791.72 18.337 -99.000 -99.000 -99 18.322 0.014 78.924
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3002.81 2540.40 20.775 -99.000 -99.000 -99 20.553 0.109 9.958
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 806.89 1345.47 19.815 -99.000 -99.000 -99 19.789 0.053 20.311
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 700.76 275.79 18.557 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3685.34 720.33 24.349 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 630.72 335.35 22.903 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1079.33 3259.72 18.933 -99.000 -99.000 -99 18.929 0.023 46.743
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1451.54 799.33 19.628 -99.000 -99.000 -99 19.578 0.039 27.665
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1033.34 3310.52 22.909 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3943.61 271.10 19.876 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 350.68 596.96 24.277 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 2658.40 326.58 20.064 -99.000 -99.000 -99 20.152 0.074 14.684
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 1338.90 267.53 23.502 -99.000 -99.000 -99 -99 -99 -99
/data/LCO/Swope/workstch/gw190425/1/s005aae0520.i.ut190429.5134_stch_1.sw.dcmp 3479.23 1961.19 23.330 -99.000 -99.000 -99 -99 -99 -99
