# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: x
#   datatype: int32
# - name: y
#   datatype: int32
# schema: astropy-2.0
sexcat_id x y
1766 2912 4064
1766 2913 4064
1766 2914 4064
1766 2915 4064
1766 2916 4064
1766 2917 4064
1766 2918 4064
1766 2919 4064
1766 2920 4064
1766 2921 4064
1766 2909 4065
1766 2910 4065
1766 2911 4065
1766 2912 4065
1766 2913 4065
1766 2914 4065
1766 2915 4065
1766 2916 4065
1766 2917 4065
1766 2918 4065
1766 2919 4065
1766 2920 4065
1766 2921 4065
1766 2910 4066
1766 2911 4066
1766 2912 4066
1766 2913 4066
1766 2914 4066
1766 2915 4066
1766 2916 4066
1766 2917 4066
1766 2918 4066
1766 2919 4066
1766 2920 4066
1766 2921 4066
1766 2922 4066
1766 2910 4067
1766 2911 4067
1766 2912 4067
1766 2913 4067
1766 2914 4067
1766 2915 4067
1766 2916 4067
1766 2917 4067
1766 2918 4067
1766 2919 4067
1766 2920 4067
1766 2921 4067
1766 2922 4067
1766 2911 4068
1766 2912 4068
1766 2913 4068
1766 2914 4068
1766 2915 4068
1766 2916 4068
1766 2917 4068
1766 2918 4068
1766 2919 4068
1766 2920 4068
1766 2921 4068
1766 2911 4069
1766 2912 4069
1766 2913 4069
1766 2914 4069
1766 2915 4069
1766 2916 4069
1766 2917 4069
1766 2918 4069
1766 2919 4069
1766 2920 4069
1766 2921 4069
1766 2912 4070
1766 2913 4070
1766 2914 4070
1766 2915 4070
1766 2916 4070
1766 2917 4070
1766 2918 4070
1766 2919 4070
1766 2920 4070
1417 162 3445
1417 163 3445
1417 164 3445
1417 165 3445
1417 166 3445
1417 167 3445
1417 168 3445
1417 169 3445
1417 160 3446
1417 161 3446
1417 162 3446
1417 163 3446
1417 164 3446
1417 165 3446
1417 166 3446
1417 167 3446
1417 168 3446
1417 169 3446
1417 170 3446
1417 159 3447
1417 160 3447
1417 161 3447
1417 162 3447
1417 163 3447
1417 164 3447
1417 165 3447
1417 166 3447
1417 167 3447
1417 168 3447
1417 169 3447
1417 170 3447
1417 171 3447
1417 158 3448
1417 159 3448
1417 160 3448
1417 161 3448
1417 162 3448
1417 163 3448
1417 164 3448
1417 165 3448
1417 166 3448
1417 167 3448
1417 168 3448
1417 169 3448
1417 170 3448
1417 171 3448
1417 172 3448
1417 158 3449
1417 159 3449
1417 160 3449
1417 161 3449
1417 162 3449
1417 163 3449
1417 164 3449
1417 165 3449
1417 166 3449
1417 167 3449
1417 168 3449
1417 169 3449
1417 170 3449
1417 171 3449
1417 172 3449
1417 173 3449
1417 157 3450
1417 158 3450
1417 159 3450
1417 160 3450
1417 161 3450
1417 162 3450
1417 163 3450
1417 164 3450
1417 165 3450
1417 166 3450
1417 167 3450
1417 168 3450
1417 169 3450
1417 170 3450
1417 171 3450
1417 172 3450
1417 173 3450
1417 174 3450
1417 157 3451
1417 158 3451
1417 159 3451
1417 160 3451
1417 161 3451
1417 162 3451
1417 163 3451
1417 164 3451
1417 165 3451
1417 166 3451
1417 167 3451
1417 168 3451
1417 169 3451
1417 170 3451
1417 171 3451
1417 172 3451
1417 173 3451
1417 174 3451
1417 156 3452
1417 157 3452
1417 158 3452
1417 159 3452
1417 160 3452
1417 161 3452
1417 162 3452
1417 163 3452
1417 164 3452
1417 165 3452
1417 166 3452
1417 167 3452
1417 168 3452
1417 169 3452
1417 170 3452
1417 171 3452
1417 172 3452
1417 173 3452
1417 174 3452
1417 156 3453
1417 157 3453
1417 158 3453
1417 159 3453
1417 160 3453
1417 161 3453
1417 162 3453
1417 163 3453
1417 164 3453
1417 165 3453
1417 166 3453
1417 167 3453
1417 168 3453
1417 169 3453
1417 170 3453
1417 171 3453
1417 172 3453
1417 173 3453
1417 174 3453
1417 156 3454
1417 157 3454
1417 158 3454
1417 159 3454
1417 160 3454
1417 161 3454
1417 162 3454
1417 163 3454
1417 164 3454
1417 165 3454
1417 166 3454
1417 167 3454
1417 168 3454
1417 169 3454
1417 170 3454
1417 171 3454
1417 172 3454
1417 173 3454
1417 174 3454
1417 157 3455
1417 158 3455
1417 159 3455
1417 160 3455
1417 161 3455
1417 162 3455
1417 163 3455
1417 164 3455
1417 165 3455
1417 166 3455
1417 167 3455
1417 168 3455
1417 169 3455
1417 170 3455
1417 171 3455
1417 172 3455
1417 173 3455
1417 174 3455
1417 157 3456
1417 158 3456
1417 159 3456
1417 160 3456
1417 161 3456
1417 162 3456
1417 163 3456
1417 164 3456
1417 165 3456
1417 166 3456
1417 167 3456
1417 168 3456
1417 169 3456
1417 170 3456
1417 171 3456
1417 172 3456
1417 173 3456
1417 158 3457
1417 159 3457
1417 160 3457
1417 161 3457
1417 162 3457
1417 163 3457
1417 164 3457
1417 165 3457
1417 166 3457
1417 167 3457
1417 168 3457
1417 169 3457
1417 170 3457
1417 171 3457
1417 159 3458
1417 160 3458
1417 161 3458
1417 162 3458
1417 163 3458
1417 164 3458
1417 165 3458
1417 166 3458
1417 167 3458
1417 168 3458
1417 169 3458
1417 170 3458
1417 160 3459
1417 161 3459
1417 162 3459
1417 163 3459
1417 164 3459
1417 165 3459
1417 166 3459
1417 167 3459
1417 168 3459
1417 164 3460
1417 165 3460
1417 166 3460
1417 167 3460
461 2624 1318
461 2625 1318
461 2622 1319
461 2623 1319
461 2624 1319
461 2625 1319
461 2626 1319
461 2627 1319
461 2628 1319
461 2621 1320
461 2622 1320
461 2623 1320
461 2624 1320
461 2625 1320
461 2626 1320
461 2627 1320
461 2628 1320
461 2629 1320
461 2619 1321
461 2620 1321
461 2621 1321
461 2622 1321
461 2623 1321
461 2624 1321
461 2625 1321
461 2626 1321
461 2627 1321
461 2628 1321
461 2629 1321
461 2618 1322
461 2619 1322
461 2620 1322
461 2621 1322
461 2622 1322
461 2623 1322
461 2624 1322
461 2625 1322
461 2626 1322
461 2627 1322
461 2628 1322
461 2629 1322
461 2630 1322
461 2617 1323
461 2618 1323
461 2619 1323
461 2620 1323
461 2621 1323
461 2622 1323
461 2623 1323
461 2624 1323
461 2625 1323
461 2626 1323
461 2627 1323
461 2628 1323
461 2629 1323
461 2630 1323
461 2616 1324
461 2617 1324
461 2618 1324
461 2619 1324
461 2620 1324
461 2621 1324
461 2622 1324
461 2623 1324
461 2624 1324
461 2625 1324
461 2626 1324
461 2627 1324
461 2628 1324
461 2629 1324
461 2630 1324
461 2616 1325
461 2617 1325
461 2618 1325
461 2619 1325
461 2620 1325
461 2621 1325
461 2622 1325
461 2623 1325
461 2624 1325
461 2625 1325
461 2626 1325
461 2627 1325
461 2628 1325
461 2629 1325
461 2630 1325
461 2631 1325
461 2616 1326
461 2617 1326
461 2618 1326
461 2619 1326
461 2620 1326
461 2621 1326
461 2622 1326
461 2623 1326
461 2624 1326
461 2625 1326
461 2626 1326
461 2627 1326
461 2628 1326
461 2629 1326
461 2630 1326
461 2631 1326
461 2615 1327
461 2616 1327
461 2617 1327
461 2618 1327
461 2619 1327
461 2620 1327
461 2621 1327
461 2622 1327
461 2623 1327
461 2624 1327
461 2625 1327
461 2626 1327
461 2627 1327
461 2628 1327
461 2629 1327
461 2630 1327
461 2615 1328
461 2616 1328
461 2617 1328
461 2618 1328
461 2619 1328
461 2620 1328
461 2621 1328
461 2622 1328
461 2623 1328
461 2624 1328
461 2625 1328
461 2626 1328
461 2627 1328
461 2628 1328
461 2629 1328
461 2630 1328
461 2615 1329
461 2616 1329
461 2617 1329
461 2618 1329
461 2619 1329
461 2620 1329
461 2621 1329
461 2622 1329
461 2623 1329
461 2624 1329
461 2625 1329
461 2626 1329
461 2627 1329
461 2628 1329
461 2629 1329
461 2630 1329
461 2615 1330
461 2616 1330
461 2617 1330
461 2618 1330
461 2619 1330
461 2620 1330
461 2621 1330
461 2622 1330
461 2623 1330
461 2624 1330
461 2625 1330
461 2626 1330
461 2627 1330
461 2628 1330
461 2629 1330
461 2616 1331
